时间,基金代码,基金简称,跟踪指数,旧状态,新状态,旧限额,新限额
2026-05-11T10:40:06+08:00,003718,易方达标普500指数美元汇A,标普500,(新增),暂停申购,,0.0
2026-05-11T11:51:22+08:00,003718,易方达标普500指数美元汇A,标普500,(新增),暂停申购,,0.0
2026-05-11T11:51:24+08:00,003722,易方达纳斯达克100ETF联接(QDII-LOF)A(美元现汇),纳斯达克100,(新增),暂停申购,,0.0
2026-05-11T11:51:26+08:00,006075,博时标普500ETF联接C,标普500,(新增),暂停申购,,100.0
2026-05-11T11:51:48+08:00,012860,易方达标普500指数人民币C,标普500,(新增),暂停申购,,10.0
2026-05-11T11:51:50+08:00,012861,易方达标普500指数美元汇C,标普500,(新增),暂停申购,,0.0
2026-05-11T11:51:53+08:00,012870,易方达纳斯达克100ETF联接(QDII-LOF)C(人民币),纳斯达克100,(新增),暂停申购,,10.0
2026-05-11T11:51:55+08:00,012871,易方达纳斯达克100ETF联接(QDII-LOF)C(美元现汇),纳斯达克100,(新增),暂停申购,,0.0
2026-05-11T11:51:59+08:00,013425,博时标普500ETF联接美元汇(QDII)A,标普500,(新增),暂停申购,,
2026-05-11T11:52:01+08:00,013499,博时标普500ETF联接美元汇(QDII)C,标普500,(新增),暂停申购,,
2026-05-11T11:52:05+08:00,015299,华夏纳斯达克100ETF发起式联接(QDII)A,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T11:52:07+08:00,015300,华夏纳斯达克100ETF发起式联接(QDII)C,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T11:52:10+08:00,015518,华夏纳斯达克100ETF发起式联接(QDII)A美元现汇,纳斯达克100,(新增),暂停申购,,
2026-05-11T11:52:14+08:00,016055,博时纳斯达克100ETF发起式联接(QDII)A人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T11:52:16+08:00,016056,博时纳斯达克100ETF发起式联接(QDII)A美元现汇,纳斯达克100,(新增),暂停申购,,
2026-05-11T11:52:18+08:00,016057,博时纳斯达克100ETF发起式联接(QDII)C人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T11:52:20+08:00,016058,博时纳斯达克100ETF发起式联接(QDII)C美元现汇,纳斯达克100,(新增),暂停申购,,
2026-05-11T11:52:25+08:00,016532,嘉实纳斯达克100ETF发起联接(QDII)A人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T11:52:27+08:00,016533,嘉实纳斯达克100ETF发起联接(QDII)C人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T11:52:29+08:00,016534,嘉实纳斯达克100ETF发起联接(QDII)A美元现汇,纳斯达克100,(新增),暂停申购,,0.0
2026-05-11T11:52:31+08:00,016535,嘉实纳斯达克100ETF发起联接(QDII)C美元现汇,纳斯达克100,(新增),暂停申购,,0.0
2026-05-11T11:52:34+08:00,017028,国泰标普500ETF发起联接(QDII)A人民币,标普500,(新增),暂停申购,,10000.0
2026-05-11T11:52:35+08:00,017030,国泰标普500ETF发起联接(QDII)C人民币,标普500,(新增),暂停申购,,10000.0
2026-05-11T11:52:47+08:00,018064,华夏标普500ETF发起式联接(QDII)A(人民币),标普500,(新增),暂停申购,,100.0
2026-05-11T11:52:49+08:00,018065,华夏标普500ETF发起式联接(QDII)C,标普500,(新增),暂停申购,,100.0
2026-05-11T11:52:51+08:00,018066,华夏标普500ETF发起式联接(QDII)A(美元),标普500,(新增),暂停申购,,
2026-05-11T11:52:58+08:00,018968,汇添富纳斯达克100ETF发起式联接(QDII)美元现汇,纳斯达克100,(新增),暂停申购,,0.0
2026-05-11T11:53:00+08:00,018969,汇添富纳斯达克100ETF发起式联接(QDII)美元现钞,纳斯达克100,(新增),暂停申购,,0.0
2026-05-11T11:53:40+08:00,021838,嘉实纳斯达克100ETF发起联接(QDII)I人民币,纳斯达克100,(新增),暂停申购,,
2026-05-11T11:53:50+08:00,024237,博时纳斯达克100ETF发起式联接(QDII)I人民币,纳斯达克100,(新增),暂停申购,,
2026-05-11T11:53:54+08:00,040047,华安纳斯达克100ETF联接(QDII)A美元现钞,纳斯达克100,(新增),暂停申购,,
2026-05-11T11:53:56+08:00,040048,华安纳斯达克100ETF联接(QDII)A美元现汇,纳斯达克100,(新增),暂停申购,,
2026-05-11T11:53:58+08:00,050025,博时标普500ETF联接A,标普500,(新增),暂停申购,,100.0
2026-05-11T11:54:02+08:00,160213,国泰纳斯达克100指数,纳斯达克100,(新增),暂停申购,,5000.0
2026-05-11T11:54:04+08:00,161125,易方达标普500指数人民币A,标普500,(新增),暂停申购,,10.0
2026-05-11T11:54:06+08:00,161130,易方达纳斯达克100ETF联接(QDII-LOF)A(人民币),纳斯达克100,(新增),暂停申购,,10.0
2026-05-11T12:10:50+08:00,006075,博时标普500ETF联接C,标普500,(新增),暂停申购,,100.0
2026-05-11T12:11:03+08:00,012860,易方达标普500指数人民币C,标普500,(新增),暂停申购,,10.0
2026-05-11T12:11:05+08:00,012870,易方达纳斯达克100ETF联接(QDII-LOF)C(人民币),纳斯达克100,(新增),暂停申购,,10.0
2026-05-11T12:11:09+08:00,015299,华夏纳斯达克100ETF发起式联接(QDII)A,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T12:11:11+08:00,015300,华夏纳斯达克100ETF发起式联接(QDII)C,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T12:11:13+08:00,016055,博时纳斯达克100ETF发起式联接(QDII)A人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T12:11:14+08:00,016057,博时纳斯达克100ETF发起式联接(QDII)C人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T12:11:20+08:00,016532,嘉实纳斯达克100ETF发起联接(QDII)A人民币,纳斯达克100,(新增),暂停申购,,100.0
